MLSNumber,Status,CloseDate,ListingContractDate,PendingDate,OriginalListPrice,ListPrice,PriceSqFtList,ClosePrice,PriceSqFtSold,Disclosures,SellerToClosingCosts,DOM,CDOM,StreetName,StreetNumber,StreetSuffix,City,StateOrProvince,PostalCode,LotSize,RoomCount,SqFtTotal,Stories,Subdivision,TempOffMarketDate,YearBuilt,BedsTotal,BathsFull,BathsHalf,BathsTotal,Area,PoolPrivate,GarageDesc,NoOfGarageCap
75405888,Sold,6/30/2021,1/20/2021,1/20/2021,185000,185000,107.18,110055,63.76,"Pre-Foreclosure, Sellers Disclosure, Short Sale",1434,0,0,Feather Green,2914,Trail,Fresno,Texas,77545,5248,4,1726,2,Winfield Lakes Sec 6,,2006,2,2,1,2.1,38,FALSE,,
79932591,Sold,12/27/2019,11/8/2019,11/29/2019,169000,169000,100.6,141000,83.93,Sellers Disclosure,0,21,21,Emory Knoll,2323,Drive,Fresno,Texas,77545,4400,4,1680,2,Winfield Lakes Sec 3,,2004,3,2,1,2.1,38,FALSE,Attached Garage,2
72065988,Sold,5/22/2020,3/17/2020,4/18/2020,159900,159900,107.1,155000,103.82,Sellers Disclosure,3000,28,28,Becker Glen,3307,Street,Fresno,Texas,77545,4400,8,1493,2,Winfield Lakes Sec 3,,2004,3,2,1,2.1,38,FALSE,Attached Garage,1
23335825,Sold,4/9/2020,2/11/2020,4/7/2020,130000,159000,90.91,160000,91.48,Estate,0,6,6,Acacia Fair,2723,Lane,Fresno,Texas,77545,5680,7,1749,1,Winfield Lakes Sec 6,,2005,3,2,0,2,38,FALSE,Attached Garage,2
92435989,Sold,2/21/2020,10/31/2019,1/27/2020,175000,159900,107.1,160000,107.17,"Mud, Sellers Disclosure",0,81,81,Dartmouth Field,3402,Lane,Fresno,Texas,77545,4400,10,1493,2,Winfield Lakes,,2004,3,2,1,2.1,38,FALSE,Attached Garage,1
18868761,Sold,2/10/2021,12/30/2020,1/11/2021,169000,169000,109.39,172000,111.33,Sellers Disclosure,5000,3,3,Becker Glen,3111,Street,Fresno,Texas,77545,4652,3,1545,2,Winfield Lakes,,2003,3,2,1,2.1,38,FALSE,Attached Garage,1
80091153,Sold,6/15/2020,5/19/2020,5/27/2020,183000,183000,92.28,175000,88.25,"Mud, Sellers Disclosure",500,8,71,Feather Green,3027,Trail,Fresno,Texas,77545,0,7,1983,2,WINFIELD LAKES SEC 6,,2006,3,2,1,2.1,38,FALSE,Attached Garage,2
28476489,Sold,1/16/2020,11/11/2019,12/2/2019,187000,179900,96.41,177000,94.86,"Mud, Sellers Disclosure",2000,21,21,Feather Green,2718,Trail,Fresno,Texas,77545,5170,6,1866,2,Winfield Lakes Sec 6,,2005,3,2,1,2.1,38,FALSE,Attached Garage,2
98652353,Sold,1/6/2020,10/23/2019,12/3/2019,189500,185500,97.68,180000,94.79,Sellers Disclosure,4000,41,41,Dahlia Hill,3542,,Fresno,Texas,77545,,5,1899,1,Teal Run,,2004,3,2,0,2,38,FALSE,Attached Garage,2
32808439,Sold,9/25/2019,8/16/2019,9/3/2019,180900,180900,128.75,180900,128.75,Sellers Disclosure,2500,18,18,Acorn Glen,1819,Trail,Fresno,Texas,77545,5956,4,1405,1,Winfield Lakes Sec 11,,2012,3,2,0,2,38,FALSE,Attached Garage,2
